"Date","Price","Open","High","Low","Vol.","Change %"
"01/06/2025","73.18","61.57","77.58","61.57","3.14M","20.38%"
"01/05/2025","60.79","58.16","64.19","55.30","5.52M","4.43%"
"01/04/2025","58.21","71.39","72.28","55.12","6.86M","-18.56%"
"01/03/2025","71.48","69.95","71.83","65.22","5.05M","2.47%"
"01/02/2025","69.76","74.14","75.18","68.36","4.90M","-3.82%"
"01/01/2025","72.53","71.85","80.77","71.79","6.29M","1.13%"
"01/12/2024","71.72","68.00","72.02","66.98","4.65M","5.47%"
"01/11/2024","68.00","70.44","72.88","66.61","5.54M","-1.82%"
"01/10/2024","69.26","68.41","78.46","66.33","7.35M","1.60%"
"01/09/2024","68.17","73.53","74.41","65.27","6.66M","-7.31%"
"01/08/2024","73.55","78.59","80.16","71.46","7.22M","-5.60%"
"01/07/2024","77.91","81.45","84.52","74.59","6.85M","-4.45%"
"01/06/2024","81.54","76.97","82.72","72.48","5.25M","5.91%"
"01/05/2024","76.99","81.48","81.57","76.15","6.28M","-6.03%"
"01/04/2024","81.93","83.14","87.67","80.88","6.56M","-1.49%"
"01/03/2024","83.17","78.28","83.85","76.79","5.50M","6.27%"
"01/02/2024","78.26","75.96","79.80","71.41","6.04M","3.18%"
"01/01/2024","75.85","71.71","79.29","69.28","6.50M","5.86%"
"01/12/2023","71.65","75.59","76.76","67.71","5.25M","-5.67%"
"01/11/2023","75.96","81.31","83.60","72.17","322.17K","-6.25%"
"01/10/2023","81.02","90.88","91.88","80.74","346.01K","-10.76%"
"01/09/2023","90.79","83.63","95.03","83.46","5.93M","8.56%"
"01/08/2023","83.63","81.64","84.89","77.59","299.42K","2.24%"
"01/07/2023","81.80","70.46","82.00","69.70","297.27K","15.80%"
"01/06/2023","70.64","67.60","75.06","66.80","6.16M","3.75%"
"01/05/2023","68.09","76.13","76.28","63.70","440.86K","-11.32%"
"01/04/2023","76.78","80.27","83.53","73.93","328.40K","1.47%"
"01/03/2023","75.67","76.85","80.94","64.12","7.07M","-1.79%"
"01/02/2023","77.05","79.12","80.61","72.25","300.09K","-3.82%"
"01/01/2023","80.11","80.57","82.66","72.47","189.32K","-0.45%"
"01/12/2022","80.47","80.56","83.33","70.11","","-0.11%"
"01/11/2022","80.56","86.17","93.74","73.61","5.68M","-6.90%"
"01/10/2022","86.53","81.02","93.64","80.87","5.33M","8.86%"
"01/09/2022","79.49","88.83","90.39","76.25","5.81M","-11.23%"
"01/08/2022","89.55","98.46","98.65","85.73","6.61M","-9.20%"
"01/07/2022","98.62","106.01","111.45","90.56","6.16M","-6.75%"
"01/06/2022","105.76","115.40","123.68","101.53","6.14M","-7.77%"
"01/05/2022","114.67","104.00","119.98","98.20","5.32M","9.53%"
"01/04/2022","104.69","101.23","109.81","92.93","5.39M","4.40%"
"01/03/2022","100.28","96.09","130.50","93.53","8.83M","4.76%"
"01/02/2022","95.72","88.15","100.54","86.55","8.21M","8.59%"
"01/01/2022","88.15","75.69","88.84","74.27","7.52M","17.21%"
"01/12/2021","75.21","67.01","77.44","62.43","7.40M","13.64%"
"01/11/2021","66.18","83.36","84.97","64.43","9.44M","-20.81%"
"01/10/2021","83.57","75.12","85.41","74.23","9.22M","11.38%"
"01/09/2021","75.03","68.55","76.67","67.12","7.75M","9.53%"
"01/08/2021","68.50","73.91","73.95","61.74","7.93M","-7.37%"
"01/07/2021","73.95","73.50","76.98","65.21","8.11M","0.65%"
"01/06/2021","73.47","66.68","74.45","66.41","7.79M","10.78%"
"01/05/2021","66.32","63.64","67.52","61.56","7.51M","4.31%"
"01/04/2021","63.58","59.49","65.47","57.63","7.39M","7.47%"
"01/03/2021","59.16","61.95","67.98","57.25","9.79M","-3.80%"
"01/02/2021","61.50","51.99","63.81","51.64","7.60M","17.82%"
"01/01/2021","52.20","48.40","53.93","47.18","7.21M","7.58%"
"01/12/2020","48.52","45.08","49.28","43.92","6.21M","7.01%"
"01/11/2020","45.34","35.24","46.26","33.64","7.03M","26.68%"
"01/10/2020","35.79","39.90","41.70","34.92","7.35M","-11.01%"
"01/09/2020","40.22","42.83","43.43","36.13","6.75M","-5.61%"
"01/08/2020","42.61","40.39","43.78","39.58","6.37M","5.81%"
"01/07/2020","40.27","39.84","42.40","38.54","6.79M","2.55%"
"01/06/2020","39.27","35.21","41.63","34.27","7.64M","10.65%"
"01/05/2020","35.49","19.04","35.77","18.05","5.91M","88.38%"
"01/04/2020","18.84","20.10","29.13","-40.32","14.56M","-8.01%"
"01/03/2020","20.48","43.70","48.66","19.27","16.68M","-54.24%"
"01/02/2020","44.76","51.01","54.50","43.85","13.33M","-13.19%"
"01/01/2020","51.56","61.60","65.65","50.97","12.54M","-15.56%"
